barcode,name,manufacturld,description,unitQty,Quantity,bIsWeighted,QtyInPackage,ItemPrice,AmountInStock
7290000121109,גבינה מון בלאן+זיתים120ג,755,גבינת מון בלאן,גרמים,120,0,0,11.9,82
7290000121239,מיוקל5% ללא כולסטרול500ג,566,מיוקל 5% שומן,גרמים,500,0,0,12.9,36
7290000122830,רוטב סצ'ואן סיני קנור300,566,רוטב סצ'ואן סיני,גרמים,370,0,0,10.9,34
7290000130545,החמישיה מצה 2.5קג לפסח,725,"מצה 2.5 ק""ג",קילוגרמים,2.5,0,0,26.9,61
7290000134147,מוסקט טחון 40 גרם,1051,מוסקט טחון,גרמים,40,0,0,14.9,6
7290000134307,קינמון טחון 50 גרם,1051,קינמון טחון,גרמים,50,0,0,5.9,47
7290000134314,תיבול לפיצה 120 גרם,1051,תיבול לפיצה,גרמים,120,0,0,9.9,16
7290000134376,פפריקה מתוקה בשמן 90 גרם,1051,פפריקה מתוקה,גרמים,90,0,0,9.9,40
7290000134550,עלי דפנה 20 גרם בשקית,1051,עלי דפנה בשקית,גרמים,20,0,0,5.9,54
7290000134666,רוזמרין 15 גרם,1051,רוזמרין,גרמים,15,0,0,5.9,52
7290000134673,זנגויל טחון מיכל 30 גרם,1051,זנגויל טחון,גרמים,30,0,0,5.9,96
7290000134758,"תיבול לתפו""א 100 גרם",1051,"תיבול לתפו""א",גרמים,100,0,0,9.9,24
7290000134826,זעתר מעורב 100 גרם,1051,זעתר מעורב,גרמים,100,0,0,9.9,33
7290000134833,כמון טחון 100 גרם,1051,כמון טחון,גרמים,100,0,0,9.9,94
7290000134840,כורכום טחון 100 גרם,1051,כורכום טחון,גרמים,100,0,0,9.9,69
7290000134871,פלפל שחור במיכל 100 גרם,1051,פלפל שחור במיכ,גרמים,100,0,0,12.9,66
7290000134970,חוואיג' במיכל 100 גרם,1051,חוואיג',גרמים,100,0,0,9.9,24
7290000135052,"TEN XL בטעם מנגו 250 מ""ל",531,TEN XL בטעם מנגו,מיליליטרים,250,0,1,4,21
7290000135113,TEN XL נענע ליים ללתס250,531,TEN XL נענע ליים,מיליליטרים,250,0,1,4,33
7290000135311,פפסי מקס ליים 1.5 ליטר,531,פפסי מקס ליים,ליטרים,1.5,0,1,6,3
7290000136721,ג'אמפ תפוזים 1.5 ליטר,530,ג'אמפ תפוזים,ליטרים,1.5,0,0,5.9,18
7290000136738,ג'אמפ אשכוליות 1.5 ליטר,530,ג'אמפ אשכוליות,ליטרים,1.5,0,0,5.9,82
7290000136745,ג'אמפ תות בננה 1.5 ליטר,532,ג'אמפ תות בננה,ליטרים,1.5,0,0,5.9,56
7290000137513,גלידונית וניל 60יח 630גר,397,גלידונית,גרמים,630,0,0,39.9,34
7290000137643,מאגדת טעמקור משפ8'יח 52,397,מאגד טעמקור משפ',גרמים,400,0,0,32.9,1
